id,mutcd,name,class,speed,lat,lon,first_seen
2.14396E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.62698734,-77.52072461,9/27/2023
1.38403E+15,R2-1,Speed 35,regulatory--maximum-speed-limit-35--g2,35,37.62749868,-77.52837191,9/27/2023
1.38403E+15,R2-1,Speed 35,regulatory--maximum-speed-limit-35--g2,35,37.62463907,-77.52507778,9/27/2023
1.02634E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.62827925,-77.52539432,9/27/2023
1.10584E+15,R2-1,Speed 45,regulatory--maximum-speed-limit-45--g3,45,37.63053176,-77.52875258,9/27/2023
6.92733E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.63406972,-77.52829462,9/29/2023
1.35909E+15,R2-1,Speed 35,regulatory--maximum-speed-limit-35--g2,35,37.63427713,-77.52893094,9/29/2023
1.09821E+15,R2-1,Speed 35,regulatory--maximum-speed-limit-35--g2,35,37.63638244,-77.52592285,9/29/2023
3.01064E+14,R2-1,Speed 35,regulatory--maximum-speed-limit-35--g2,35,37.63650559,-77.52121098,9/29/2023
8.71534E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.63925145,-77.52455481,9/29/2023
8.23109E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.63867064,-77.52674019,9/29/2023
1.11691E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.63831145,-77.52828688,9/29/2023
6.22346E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.64525568,-77.52016721,9/29/2023
2.90443E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.64542917,-77.52299013,9/29/2023
3.68315E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.6456025,-77.52407877,9/29/2023
1.54666E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.64650366,-77.52815768,9/29/2023
7.03692E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.64615723,-77.52220175,9/29/2023
8.55971E+14,R2-1,Speed 45,regulatory--maximum-speed-limit-45--g3,45,37.64680868,-77.52619655,9/29/2023
3.53288E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.64691591,-77.52476658,9/29/2023
2.06614E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.65576486,-77.52128508,9/28/2023
2.06614E+15,R2-1,Speed 55,regulatory--maximum-speed-limit-55--g2,55,37.65309137,-77.52116076,9/28/2023
7.08035E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.65509667,-77.52838836,9/29/2023
7.08035E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.65417246,-77.52285745,9/29/2023
1.0143E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.65902989,-77.52059064,9/28/2023
9.94126E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.65753061,-77.52337517,9/28/2023
1.45167E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.66758973,-77.52151805,9/28/2023
1.0268E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.6667925,-77.5281263,9/28/2023
1.35872E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.66160563,-77.52849777,9/28/2023
2.20067E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.66229067,-77.52699809,9/28/2023
2.20067E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.66127553,-77.5253629,9/28/2023
2.20067E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.66232792,-77.52687213,9/28/2023
2.20067E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.66245107,-77.5259767,9/28/2023
1.70007E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.66517935,-77.52062597,9/28/2023
1.02921E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.66223858,-77.52465991,9/28/2023
1.50798E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.66551962,-77.52342345,9/28/2023
2.3508E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.66482901,-77.52031765,9/28/2023
8.7454E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.66449909,-77.52155654,9/28/2023
6.41806E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.66219117,-77.52346212,9/28/2023
3.58133E+15,R2-1,Speed 40,regulatory--maximum-speed-limit-40--g3,40,37.67701442,-77.52731292,9/28/2023
3.56365E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.67242744,-77.5270171,9/28/2023
1.04019E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.67531545,-77.52525634,9/28/2023
2.51267E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.67177766,-77.5269489,9/28/2023
1.84308E+14,R2-1,Speed 40,regulatory--maximum-speed-limit-40--g3,40,37.67532507,-77.52423843,9/28/2023
3.02E+14,R2-1,Speed 35,regulatory--maximum-speed-limit-35--g2,35,37.68493469,-77.5244216,9/29/2023
1.06244E+15,R2-1,Speed 45,regulatory--maximum-speed-limit-45--g3,45,37.68324811,-77.52087519,9/29/2023
2.95979E+15,R2-1,Speed 45,regulatory--maximum-speed-limit-45--g3,45,37.67975049,-77.52381196,9/29/2023
3.32683E+14,R2-1,Speed 70,regulatory--maximum-speed-limit-70--g3,70,37.68152816,-77.52617315,7/14/2018
3.09985E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.67868146,-77.52518971,9/28/2023
1.34417E+15,R2-1,Speed 70,regulatory--maximum-speed-limit-70--g3,70,37.68163563,-77.52640734,6/15/2023
4.2261E+15,R2-1,Speed 70,regulatory--maximum-speed-limit-70--g3,70,37.68158576,-77.52659653,7/1/2018
9.88178E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.68916772,-77.52524392,9/28/2023
1.49192E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.69243801,-77.52148816,9/28/2023
9.97061E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.68824181,-77.52359101,9/28/2023
3.31076E+14,R2-1,Speed 50,regulatory--maximum-speed-limit-50--g1,50,37.47935611,-77.51379335,9/9/2018
3.3115E+14,R2-1,Speed 45,regulatory--maximum-speed-limit-45--g3,45,37.47806183,-77.51716539,9/9/2018
2.40164E+14,R2-1,Speed 40,regulatory--maximum-speed-limit-40--g3,40,37.5376282,-77.51840169,12/18/2017
1.0464E+15,R2-1,Speed 35,regulatory--maximum-speed-limit-35--g2,35,37.53700088,-77.51685492,9/9/2024
